;Symbol;A1.CEL;A2C.CEL;A5.CEL;A7B.CEL;A3B.CEL;D1.1.CEL;D7.1_(HuGene-1_0-st-v1).CEL;D6.1.CEL;D4.1.CEL;D8B.1.CEL;D1.2.CEL;D7.2.CEL;D6.2.CEL;D4.2.CEL;D8.2.CEL;B3B.CEL;B2.CEL;E8B.CEL;B9.CEL;B6.CEL;C3B.CEL;E1.CEL;E6.CEL;B5.CEL;E7C.CEL;E5.CEL;F7B.CEL;F6B.CEL;F4B.CEL;F2.CEL;G3.1.CEL;G4.1.CEL;G3.2.CEL;G4.2.CEL
7898602;OTUD3;5,75984148099145;5,01915078744546;5,55373377439845;5,06298795892003;5,38047056768169;4,46971449374806;4,49709841431812;4,42686840894693;5,00783048607539;4,82056380408507;4,26994463990369;4,67068361151523;4,7792443646761;4,83400458783754;4,960931913233;4,5932950641191;4,91583531263141;5,16210749913216;5,87086085964553;5,41070122211564;5,61556067239651;5,1080562199337;6,38979160505708;4,65163109630188;5,34794833038728;5,02902978577366;4,78824688089956;5,34742201973027;5,18085635439453;4,39104032947519;5,10194457873658;4,44039420963647;5,1335531863817;5,41545574217569
7898736;HSPC157;5,92745358529926;5,5327002513098;5,37123091091484;6,81277105024089;6,27078445533009;5,47635655577494;5,99668637418011;6,27665325493535;5,66867980605613;6,01144041682912;5,53765202028187;5,90211952747651;5,92303716889382;5,79274981582322;6,91575322657605;5,6835084817965;5,35322073746619;5,83879441229422;6,78251385832674;5,84122803076643;6,45747142888636;5,68182588314795;5,25305673995231;5,73769592332272;5,37112241975601;5,44037350803752;6,14549704685158;6,06197496994896;5,46967034744494;6,37751516112098;6,00576077551091;5,96870036775798;6,52173421003441;5,86385070469246
7898750;ZBTB40;5,02513626301249;5,26193782197465;4,90084207384935;4,74879602514456;5,51271939215857;4,7342331818575;5,09327609458162;4,17881968130664;4,68824851385718;5,16406315152419;4,40289589711359;4,8832803136235;4,78283778598139;4,93389448681229;4,4394282821249;5,6627111811347;5,16995266162245;5,22313585774086;5,84237733165957;4,74802611621366;5,31686920876595;4,64108134729322;5,19403099801666;5,20113268332878;5,59178398427956;4,83971077961063;4,7724962027948;4,94619217573045;4,76340334395412;4,43761366434697;5,04555991877704;4,83919792279204;4,86817957008054;4,68847817759424
7898793;C1QA;4,55552765874461;4,94431108314034;4,61191254006259;4,50246062006023;4,48865767794973;4,54251398443128;6,2386764066122;5,1025108009168;5,46432323222945;6,45268515202151;4,70659293562464;5,72085088345152;4,71071710901993;4,63329350778504;5,6947435684776;5,80413046498941;5,37165316760816;5,96916015367981;5,38721722865935;6,64408932773902;5,09048841215239;5,58000412688694;4,98061684364589;4,93991476749388;4,74465884504194;4,55961995757241;4,96763472990496;5,03817868369513;5,28370380786037;4,89908794701399;5,70184065337356;5,51297603585571;4,66597467274786;5,21797145595157
7898799;C1QC;5,82302828574083;6,33697263266411;5,75152725985274;5,70978169886057;4,73801338618727;6,37049916194576;8,15178903265832;7,00854349176961;7,06054254428063;9,16155368263944;5,77363215031846;7,44307911515427;6,239243612276;6,83170520143006;6,99723571027187;7,87716353424943;7,76802012771543;9,42745398631782;8,21848144567435;8,81574303151089;6,66485144254326;8,19560291097216;5,93641755816728;7,36666973403591;6,51916978192182;6,00486280920263;7,1475061956403;7,36667987009148;7,5592926358673;7,70478466577879;7,46650940529975;6,7553779582275;6,78620919267735;7,24159615714235
7898805;C1QB;4,95356583773691;5,83083611393695;5,37351331845278;4,90972414279459;5,09530684198589;5,85762724822529;7,48581742436131;7,17430874363499;5,99795584838435;8,17929713372303;5,3668915552869;6,89365573214089;6,63733003853895;5,81613931794952;6,96941998948297;6,92671473057979;8,07997818267414;8,23968920198404;6,96352017180901;7,79818382020201;6,32585040615599;7,29420003397328;5,55011760533833;6,74152713795471;5,52601153325656;5,06300584070357;6,44695171587319;6,43889313626241;6,35136877157218;7,34250730089219;6,23593711072993;6,82232708707851;6,23920779601531;6,36370640853473
7898881;TCEB3;6,51393840057042;6,51578547174243;6,59197266968662;6,74195762815392;5,47486193784455;5,27101790725996;5,85897229978341;6,28092175851392;5,54681246722972;6,16939015417593;6,31903852855935;5,90298084822017;6,39792736531044;5,85665749522432;6,41193558966102;6,95008037689006;6,07401737886214;6,32392270081561;6,06649157727415;5,98353623329892;5,81727175795621;5,43161228327764;6,74080592866375;5,83755081756917;5,99241558520949;6,00886215930528;5,1602409333978;6,08377944766109;5,68866914364352;5,40250043812515;5,89054136272695;5,5306513659036;6,03356156338611;5,58486980155079
7898894;C1orf128;6,05667048140143;6,92261399239139;6,64720143531939;6,58461736453559;6,43056614441479;6,94403141371126;6,59552213576346;6,21827940876009;6,0908671721696;6,18031683498915;5,97942013078357;6,74024796721639;6,65818496376253;7,14944240894909;6,08732147664746;8,12676215989289;5,99487930563032;6,81204480675894;6,27085376546482;6,18143508728787;6,07862121402029;6,49243462137452;7,00533192076879;5,99090009851482;6,32624291611036;6,33077273502735;5,61218226962331;6,30764318507972;5,92713390485745;6,16368336409767;6,93279498351568;6,72213041727942;5,50559583926734;6,3391643937693
7898910;PNRC2;7,82608478303732;8,21161274313915;8,28136597164636;8,96610074668428;8,11580975179558;7,69133590356686;8,43775352389479;6,66230874120462;8,43869683948522;8,63898062463011;7,57211007477914;8,07189040247803;7,93674945401998;8,3961888572743;8,70428736193828;8,5420480398176;8,60148017975222;8,74323705152526;9,17264641073412;9,1576691515477;8,89599494151707;7,47292285622378;7,67690404651333;7,79869936169485;8,43181857362287;8,48875451241047;8,60306631469628;8,69361246756124;9,10298281753881;7,72251632213325;8,23881511616979;8,48312821200022;7,99046058562385;8,79440059782352
7898988;CLIC4;6,92732334301325;7,04469001544273;7,03110112585773;6,80776189582674;7,36554317715205;7,63610213098274;8,21185238135822;7,11367520212287;7,86514207868432;7,67614987562938;6,46996158667633;8,31728264235406;6,7584203752667;8,13038289010527;7,22830060330473;7,72599643683174;7,75073821967121;8,31344385526004;8,32468327466862;8,68322037590683;7,16607642710844;7,1860508947289;7,15589754912906;7,27791536040955;8,71311876543572;8,98544454595694;8,24100441917394;8,56723390228342;7,89067595406312;8,1360524496269;8,89245058279154;8,58762318463355;8,39356600209215;8,07421889157308
