;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;SAL;CTL;DB13.SAL;DB14.SAL;DB15.SAL;DB16.SAL;C7.CTL;C8.CTL;C10.CTL;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
17249108;Mir340;723845;1,17510447148674;6,09354220818882;3,85983836184975;0,000145190873430615;0,0405024460522045;0,814210121830062;1,17510447148674;6,33995776712618;5,16485329563944;6,60011994097903;6,20564927593165;6,18042572699014;6,37363612460389;6,02618140491886;5,61882454891356;3,8495539330859;0,39861071040057;0,763762615825973;2,21536261259302;0,0623021870371846;7;0,694501614635198;0,386493171790642;237,986821705333
17458514;Npy;109648;-1,13527265173016;8,20797954738101;-3,83735142037018;0,000158311559398672;0,0424640313556285;0,738076293958173;-1,13527265173016;7,91423337898753;9,04950603071769;7,6831771517518;7,88117834654472;8,13291555570819;7,95966246194542;8,65094841964273;8,90222971088143;9,59533996162891;0,387355927197219;0,763762615825973;-3,57636055293151;0,00901991034547902;7;0,415623871088907;0,386493171790642;237,986821705333
17497704;Cox8b;12869;-1,19830873870345;5,76343501637763;-3,80227656899916;0,00018104042338733;0,0458235212664246;0,620104527508931;-1,19830873870344;5,39804644583316;6,5963551845366;4,85100115228403;5,48650268726841;6,4001012024639;4,85458074131631;5,17195074220182;6,44570433677009;8,1714104746379;0,412635535683901;0,763762615825973;-1,67201082972889;0,138442597118077;7;0,938363795838402;0,386493171790642;237,986821705333
17440658;Crybb1;12960;-1,5588895078916;6,6432350252492;-3,79805210114928;0,000183977429804974;0,0458235212664246;0,605960169424298;-1,5588895078916;6,61310144474556;8,17199095263716;4,83332186316881;5,40022086501081;10,7519498727964;5,46691317800623;7,89143231234402;5,86721224129282;10,7573283042746;0,537397966847573;0,763762615825973;-0,910174637008884;0,392991448268442;7;2,24249874051242;0,386493171790642;237,986821705333
17358591;Mlana;77836;-1,19970449500009;5,80004108446352;-3,77858662717162;0,000198102382073611;0,0476402073303919;0,540964948686661;-1,19970449500009;5,39670800722601;6,5964125022261;5,37825465278979;4,9308956481594;5,47447297114926;5,80320875680561;5,30374972937525;6,07799210316473;8,40749567413832;0,415706203885317;0,763762615825973;-1,59526032342685;0,154684077977782;7;0,984655532245089;0,386493171790642;237,986821705333
17346311;2410015M20Rik;224904;-1,1182862325234;7,65953665726972;-3,74057242878255;0,000228693432297541;0,0531635998947684;0,414885687734247;-1,11828623252339;7,40163721061951;8,51992344314291;7,18666060094496;7,08300428572213;7,74692079789004;7,58996315792094;8,25553412438888;8,52776002373931;8,77647618130053;0,391432167649223;0,763762615825973;-2,74823223630324;0,0285767406555028;7;0,532771704918504;0,386493171790642;237,986821705333
17291195;Hist1h1e//Hist1h2be//Hist1h2bg//Hist1h2bc;50709;-1,11220686838448;6,58596695093859;-3,72283122650895;0,000244449763653797;0,0549933113458574;0,356430385856694;-1,11220686838448;6,24153342236123;7,35374029074571;6,17290944325997;5,91379935515265;6,72097328362528;6,15845160740702;7,03848974422072;7,46022258214535;7,56250854587107;0,391159450791061;0,763762615825973;-2,76998149502678;0,0276948412730428;7;0,52571492645837;0,386493171790642;237,986821705333
17494221;Hbb-b1//Hbb-b2//Beta-s;15129;-1,10110921674;5,77831997452115;-3,7054073766673;0,000260917312841552;0,0567806390674261;0,299260270634263;-1,10110921674;5,53174606760313;6,63285528434313;5,27835651838097;5,16736261485054;6,36682713753102;5,31443799965001;6,7655256284906;6,23531694903685;6,89772327550193;0,389077430529415;0,763762615825973;-3,07703302301607;0,017889793529337;7;0,468532632049989;0,386493171790642;237,986821705333
17242276;Gm10941;100169878;-1,09233264593419;4,85017199133447;-3,6975528113817;0,00026867810284271;0,0567806390674261;0,273566064461085;-1,09233264593419;4,47892441971422;5,57125706564842;4,14731745981525;4,10410874731183;5,03946679169293;4,62480468003688;5,11857999524348;5,52488925408089;6,07030194762087;0,386796139378337;0,763762615825973;-3,60288954127589;0,00870623240081705;7;0,396958923165732;0,386493171790642;237,986821705333
17396056;Fabp5;16592;-1,22200317929376;6,72270875658472;-3,62436586991826;0,000352225921776384;0,0722477523078971;0,0364830604438229;-1,22200317929376;6,53384475039327;7,75584792968702;5,8031453616922;5,57544574951938;8,92992351066231;5,82686437969918;7,36376511522793;6,57739582617141;9,32638284766172;0,441450391960301;0,763762615825973;-1,21229813104916;0,264722533452958;7;1,31978899653857;0,386493171790642;237,986821705333
17211443;Mir30c-2;723964;1,1195250416718;5,89941494495058;3,58829707155088;0,00040187708285827;0,0788351400007506;-0,0788053805274131;1,1195250416718;6,09967151118667;4,98014646951487;5,82911702006538;6,89791393677791;6,10276563831443;5,56888944958894;6,27765574288171;4,82825002417888;3,83453364148402;0,408495262998489;0,763762615825973;1,67968602049822;0,136909536484091;7;0,872664496859422;0,386493171790642;237,986821705333
17420016;Id3;15903;-1,07172041265727;6,03560278594298;-3,58342885277219;0,000409061681066609;0,0788351400007506;-0,0942870609997284;-1,07172041265726;5,68713101311621;6,75885142577348;5,08280614417773;5,63179105387984;6,25242501509849;5,78150183930877;6,3915396102183;6,25322122079516;7,63179344630697;0,391583441974005;0,763762615825973;-2,6147699201613;0,0346719153538291;7;0,5366481361966;0,386493171790642;237,986821705333
17449827;C87414;381654;1,08847369488574;5,22981661692824;3,57731638103966;0,0004182535388626;0,0788351400007506;-0,113699063941514;1,08847369488574;5,64548928550644;4,55701559062069;6,21897630429651;6,45965509051593;4,86354192608424;5,03978382112906;4,29516779988452;4,11524271855466;5,2606362534229;0,398384276885756;0,763762615825973;2,06561097917112;0,0777186893380035;7;0,689939496847529;0,386493171790642;237,986821705333
17289031;Rps23;66475;-1,0583813530292;4,95642905973048;-3,55223483192762;0,000458041399349666;0,0799822667248034;-0,193042782403112;-1,0583813530292;4,57846273953327;5,63684409256247;4,79533018827487;4,232366986566;4,05313734531149;5,23301643798072;5,6930396222892;6,13205702265751;5,08543563274071;0,390105536684609;0,763762615825973;-2,78512205364471;0,0270977950169805;7;0,497553230647629;0,386493171790642;237,986821705333
17328625;Sdf2l1;64136;-1,06240213950069;5,69439369390411;-3,54681116172238;0,000467100193062531;0,0799822667248034;-0,210134483779023;-1,06240213950069;5,39405212359937;6,45645426310006;5,12704676548605;5,07176012221003;5,9187070111268;5,4586945955746;6,11422000775917;5,95777986665252;7,29736291488849;0,392186349190573;0,763762615825973;-2,52067024088943;0,039771552721362;7;0,551841688063667;0,386493171790642;237,986821705333
17329525;Mir690;751543;1,12010794825531;5,75553369019174;3,54544243491219;0,00046941271592651;0,0799822667248034;-0,214444079822333;1,12010794825531;5,93890224331715;4,81879429506184;6,50703001564242;5,99311048083992;5,04647445641342;6,20899402037285;5,57673200291822;4,96083222859889;3,91881865366843;0,413648109298764;0,763762615825973;1,53754014731331;0,168046697230698;7;0,953838872039669;0,386493171790642;237,986821705333
