;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;SST;CTL;DB4.SST;DB5.SST;DB8ud.SST;C7.CTL;C8.CTL;C10.CTL;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
17277232;Coq6;217707;-0,62130392204987;6,35235919077147;-1,97590791277978;0,0492872652094808;0,125173059753603;-4,44547749616301;-0,62130392204987;6,11394815696912;6,73525207901899;5,64706488424898;6,55613299911844;6,13864658753995;6,51973455222586;6,54248664501299;7,14353503981812;0,385108428983181;0,816496580927726;-2,27391677091254;0,0571465046249072;7;0,33463792599616;0,386493171790642;237,986821705333
17446031;5031425E22Rik;269630;-0,617930363592707;6,68220664446017;-1,97575575053426;0,0493046164529892;0,125173059753603;-4,44576522524429;-0,617930363592707;6,43773633429105;7,05566669788375;6,12427146390891;6,8143173987566;6,37462014020764;6,97933067340946;7,22705966331381;6,96060975692799;0,383046863704009;0,816496580927726;-3,18223760431828;0,0154424871533374;7;0,237822292923799;0,386493171790642;237,986821705333
17469793;1700015O11Rik;71855;0,627567039733902;5,26881774918006;1,97508129189225;0,049381587878075;0,125311053109802;-4,44704032527809;0,627567039733901;5,54779153025337;4,92022449051947;6,39063561991011;4,99883782490766;5,25390114594236;4,90824655676371;5,00233186028058;4,85009505451413;0,389153356129521;0,816496580927726;1,63278841053098;0,146532099391015;7;0,470734302381866;0,386493171790642;237,986821705333
17386421;Hat1;107435;-0,619345570915629;5,80262765957917;-1,97488644153579;0,0494038437131828;0,125311053109802;-4,44740862183628;-0,61934557091563;5,55340806091869;6,17275363183432;5,2714384533279;5,85258613746676;5,53619959196141;6,02066116691917;6,27904506629228;6,21855466229152;0,384093128417107;0,816496580927726;-2,60714445983837;0,0350587046270777;7;0,290946789977659;0,386493171790642;237,986821705333
17379247;Gdap1l1;228858;-0,622320824141884;7,29724538347074;-1,97464804961061;0,0494310843877822;0,125311053109802;-4,44785917070102;-0,622320824141884;7,05435922959473;7,67668005373661;6,71735588801098;7,64990644534941;6,79581535542379;7,3279361971437;7,72764209934977;7,97446186471636;0,38598485328981;0,816496580927726;-2,06954547089064;0,07726858337948;7;0,368285813696062;0,386493171790642;237,986821705333
17489138;Lin37;75660;-0,618074302119556;6,15342978978112;-1,97451160120469;0,0494466818391114;0,125311053109802;-4,4481170277083;-0,618074302119556;5,88289089277415;6,50096519489371;5,69733325658853;6,24319303610606;5,70814638562786;6,19435691776984;6,4317063580147;6,87683230889659;0,383377505200785;0,816496580927726;-2,95939712872903;0,0211231258021476;7;0,255789709434827;0,386493171790642;237,986821705333
17419965;Fuca1;71665;-0,619224353287605;8,42599109031699;-1,97449296501577;0,0494488124689097;0,125311053109802;-4,44815224460407;-0,619224353287606;8,17731661456702;8,79654096785463;7,83888883197451;8,68870892760721;8,00435208411935;8,7197331344829;8,66838752846353;9,00150224061745;0,384094481148839;0,816496580927726;-2,60607442618165;0,0351133379801057;7;0,291009283277049;0,386493171790642;237,986821705333
17547907;Gm20555;328516;-0,621952878781575;6,70655667429368;-1,97411293383587;0,0494922774067204;0,125341834451565;-4,44887032119437;-0,621952878781576;6,42052029500238;7,04247317378396;5,84854901219789;6,77653221762234;6,63647965518692;6,71869662950119;7,01648792030934;7,39223497154135;0,385861206559675;0,816496580927726;-2,09426898219726;0,074498959168991;7;0,363722905228618;0,386493171790642;237,986821705333
17244211;Gm3515;100041799;-0,621998950537485;7,5855779957695;-1,97397167279184;0,0495084419376684;0,125341834451565;-4,44913720269077;-0,621998950537485;7,26833423090241;7,89033318143989;6,75396221155801;7,66572475273206;7,38531572841715;7,67180307992433;7,72340445625478;8,27579200814057;0,385917404581756;0,816496580927726;-2,08251076568641;0,075803616727034;7;0,365803643003326;0,386493171790642;237,986821705333
17265186;Rnasek;52898;-0,619125747654637;8,71277429693822;-1,97391544578018;0,0495148772460656;0,125341834451565;-4,44924342605014;-0,619125747654637;8,45551005868897;9,07463580634361;8,19024059517938;8,84804016493263;8,32824941595489;8,72958148747029;9,08955109722715;9,40477483433339;0,384145676456166;0,816496580927726;-2,58473803991444;0,0362213764081929;7;0,293364771391534;0,386493171790642;237,986821705333
17417349;Lrrc41//Rad54l;230654;-0,618142954023135;6,90235577387912;-1,97335330265345;0,0495792546166394;0,125404217909632;-4,45030525876433;-0,618142954023136;6,66932719273339;7,28747014675653;6,26648450534184;7,13906955285398;6,60242752000436;7,14881807900889;7,26985038346027;7,44374197780042;0,383645144388842;0,816496580927726;-2,80948965381056;0,0261650963229214;7;0,269467948280165;0,386493171790642;237,986821705333
17356412;4930481A15Rik;74931;-0,630981866222458;6,60705074930813;-1,97316556957937;0,0496007697832133;0,125404217909632;-4,45065980276433;-0,630981866222458;6,50081840497295;7,13180027119541;6,20900661322041;6,99033466323633;6,30311393846213;6,98889499053274;6,75337416541812;7,65313165763537;0,391650764898452;0,816496580927726;-1,43544266367726;0,194297562323125;7;0,538364801431596;0,386493171790642;237,986821705333
17429659;Ppie;56031;-0,620078474923791;6,31139558643725;-1,97307789101853;0,0496108208918441;0,125404217909632;-4,45082537725611;-0,620078474923791;6,09601922482627;6,71609769975006;5,64937882023064;6,52504660253056;6,11363225171761;6,56393358062561;6,6770018091985;6,90735770942607;0,384900127602766;0,816496580927726;-2,32854495504453;0,0527267484654783;7;0,326142697128521;0,386493171790642;237,986821705333
