,SymbolsA,EntrezsA,AveExpr,B,A.PF14,A.PF19,A.PF23,A.PF39,A.PF46,B.PF24,B.PF25,B.PF28,B.PF34,B.PF42
204959_at,MNDA,4332,7.98682475752525,-1.72733286218244,7.31723255233262,6.93740456334964,7.23270352042801,8.13877816371645,6.58620994992644,9.99368572358191,8.98937966502896,9.10378909071004,6.96165050235396,9.47626160028423
205098_at,CCR1,1230,9.22105463276192,-1.73291085707653,8.30326112616277,9.00969999654356,8.76670753353166,9.16306396613791,8.74040092759979,10.6135604995499,9.91262445857695,10.0703305364682,8.89405767012615,9.93130561394794
203384_s_at,GOLGA1,2800,7.21951716007677,-1.74408036139076,7.20357435428787,7.68513500946878,7.53977185309542,7.52604448731657,7.68299358793641,6.75929726152613,6.85620923162591,6.93684059981146,6.81138472743203,7.06321198001371
200868_s_at,RNF114,55905,9.24793126919769,-1.7456729927302,9.38174970953632,10.0818022550991,10.6269300155437,9.91746010317573,9.65360768827658,8.92853916384589,8.44521852780571,8.94467079065403,8.79652523447218,9.51318104886942
200618_at,LASP1,3927,11.1979469386926,-1.75637489563077,11.217008940316,12.4683560903566,12.828926002851,11.0502447769336,11.0809385030021,10.8176041823268,10.5476172855776,10.0764622927612,10.6578490168669,10.5732533684945
212754_s_at,MON2,23041,8.23001972736961,-1.76201955887062,8.2745404594697,8.40283575948636,8.78886108343502,8.45496954211896,8.6118401917429,7.90250608642219,7.86656115172384,7.66550505594785,7.62762271716929,8.16468991910986
64486_at,CORO1B,57175,10.056461924708,-1.76307995622826,10.3461033830069,10.7760296011024,10.0596865103916,10.9447638655248,10.1864560642382,9.95828385242266,9.64094984429933,9.57087474256722,9.51181933350417,9.84427623998515
218124_at,RETSAT,54884,9.59576495158377,-1.77771073990387,9.89359700239961,9.59050021817291,9.97576550890651,10.6822251187433,10.9115722836897,9.12041233135584,9.66414664491639,9.60460924190645,8.60945588514659,9.05073946702847
203561_at,FCGR2A,2212,7.99191469359283,-1.78186430395509,7.66788421164091,7.63994796475732,7.34466977926256,8.01863967500074,7.4598077661397,9.35722891064344,8.55122811051972,8.60568766160144,7.5459306221523,9.26952543539474
212510_at,GPD1L,23171,9.79873689881771,-1.78999683198452,10.0405869499564,9.01557533314493,10.8718575860818,10.0469631742364,10.8620698383949,8.67258370585537,9.17090835705972,9.06033589557001,9.21041139806309,9.35247912360027
204725_s_at,NCK1,4690,8.69200339358529,-1.79728204151839,7.98276461487917,8.13210267915009,9.2388277353263,8.11571001279769,8.60469953544547,8.70316777374403,9.53067604938559,9.30776275797272,9.3189510679798,9.44116842004368
202548_s_at,ARHGEF7,8874,9.88249885733613,-1.79739429092387,9.63799680037905,9.21504885101528,9.07053067062338,9.64269082159565,9.83971110190403,10.0793007622401,10.2234518290748,9.82250823090337,10.3457640320319,10.3318742501621
214511_x_at,FCGR1B,2210,8.16149817457803,-1.80438793406652,7.23367095957569,8.00342661900671,7.60754130557418,7.916622055178,7.34159082737964,9.3644627200379,9.47924340084745,8.63190427501451,7.5986865105212,8.79698210644002
218476_at,POMT1,10585,7.61468044321202,-1.80936350554869,7.83149663533653,8.09442566088147,7.60063108467966,8.32289544728267,8.20863129041221,7.34808107215404,7.09337910304605,7.33065394723081,7.68568409232008,7.06174954452602
213664_at,SLC1A1,6505,8.42588070999707,-1.81012903893621,9.27765940272526,6.9836080415817,10.2106474049317,10.0754587091599,9.45081406241177,7.52387612088393,6.90926858658437,6.6212331445136,6.61357494644949,7.13874085987906
203447_at,PSMD5,5711,10.5964021611768,-1.81295010863758,10.5830865704135,11.0078174754503,11.6223839425122,11.216086755956,11.1288771930451,9.78315853646135,10.8013991314923,10.3111121427636,10.3640895220506,10.3907484408011
204396_s_at,GRK5,2869,7.11746405924192,-1.81464607725909,6.98181009194677,6.51529092202935,6.42778262375621,6.95702923963269,6.6235114077899,7.87142906306897,8.62931329866407,7.15757747881293,6.83914816493052,7.90266275233737
206561_s_at,AKR1B10,57016,6.99791833028639,-1.81946401465141,10.2828355557265,6.40170320683181,8.41005122118832,8.43372882766809,7.03317304412196,6.41543671397007,6.30351995888393,6.67020156199629,6.38399456766067,6.15882958237435
211979_at,GPR107,57720,9.3485404729415,-1.82444051890629,9.65121497044377,9.91243725566118,9.29691359046186,9.90124087630064,10.2709870574758,9.03264624019177,8.76647422863111,9.43309687916507,8.96002561455336,9.12890694903501
202387_at,BAG1,573,9.72791175874203,-1.82816616076575,9.55917438431134,8.85042730146213,9.06130119503792,9.1968366782566,8.94327878538121,9.41635257391522,10.7429697075948,10.7464761852228,9.67339249105013,10.1146396578234
222116_s_at,TBC1D16,125058,9.29787271625406,-1.83137167561738,9.86912366594661,11.2154433434727,9.79598038007387,9.65585475610307,9.16629587886987,9.11248589112282,8.46276571938449,7.77679204780376,8.36160029879981,9.23657345378174
206254_at,EGF,1950,5.51688633068307,-1.83786486061008,5.72821632911169,5.25236927687025,7.38540101062512,6.14986994380048,6.40224953533253,5.34806404154035,5.04105357544916,5.0261443954722,5.08184606772435,5.11878822697228
